,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income,shortName,x,y,면적,광역시도,행정구역
0,19,2,24,76,15,40,3,40,232750,5857412.304,서울강남,6,7,39.5,서울특별시,강남구
1,0,4,3,13,5,5,1,24,182094,3026804.514,서울강동,8,5,24.6,서울특별시,강동구
2,1,2,1,5,1,5,4,20,144155,2255825.018,서울강북,5,2,23.6,서울특별시,강북구
3,8,3,6,15,8,13,8,44,262442,2902039.649,서울강서,4,4,41.4,서울특별시,강서구
4,3,4,6,11,8,9,2,28,268218,2475292.423,서울관악,5,6,29.6,서울특별시,관악구
5,2,2,7,15,6,9,6,24,164258,2956848.289,서울광진,7,6,17.05,서울특별시,광진구
6,2,1,2,10,5,7,6,29,176437,2708165.123,서울구로,4,7,20.11,서울특별시,구로구
7,0,1,2,10,3,11,2,23,110339,2311796.881,서울금천,5,7,13.01,서울특별시,금천구
8,1,2,5,12,3,8,11,31,216861,2963099.371,서울노원,6,1,35.44,서울특별시,노원구
9,1,0,4,2,0,6,3,19,138479,2524968.529,서울도봉,5,1,20.8,서울특별시,도봉구
10,3,5,3,8,0,5,6,22,163900,2677568.142,서울동대문,7,4,14.2,서울특별시,동대문구
11,1,3,3,10,4,5,5,21,180747,3194057.67,서울동작,5,5,16.36,서울특별시,동작구
12,4,1,3,32,8,16,2,35,174795,3562469.358,서울마포,5,4,23.87,서울특별시,마포구
13,7,5,4,20,10,10,3,20,139990,3125645.427,서울서대문,5,3,17.6,서울특별시,서대문구
14,8,1,11,46,15,15,4,27,173113,5713649.496,서울서초,6,6,47.04,서울특별시,서초구
15,1,1,2,10,6,9,3,24,136000,3534208.511,서울성동,7,5,16.85,서울특별시,성동구
16,0,2,4,13,3,6,7,26,192535,3126103.292,서울성북,6,2,24.57,서울특별시,성북구
17,6,2,4,29,5,18,4,43,278233,3896267.863,서울송파,8,6,33.9,서울특별시,송파구
18,2,1,2,15,4,6,7,23,177212,3566634.623,서울양천,4,5,17.4,서울특별시,양천구
19,7,2,3,35,11,10,9,35,174494,3329824.146,서울영등포,4,6,24.56,서울특별시,영등포구
20,3,1,7,18,5,9,2,13,109964,4772049.084,서울용산,6,5,21.87,서울특별시,용산구
21,1,1,2,8,5,4,3,25,207454,2627790.565,서울은평,4,3,29.7,서울특별시,은평구
22,5,2,5,36,11,10,3,31,73951,3882656.159,서울종로,6,3,23.9,서울특별시,종로구
23,1,2,8,52,13,26,4,30,62633,3603049.152,서울중구,6,4,9.96,서울특별시,중구
24,0,2,4,6,0,6,4,19,181400,2318482.787,서울중랑,8,4,18.5,서울특별시,중랑구
25,1,2,2,3,2,3,1,9,53242,2961808.928,부산강서,8,18,179.05,부산광역시,강서구
26,4,1,0,7,2,2,2,16,106984,2885474.066,부산금정,10,15,65.19,부산광역시,금정구
27,0,1,0,4,4,3,1,9,69103,2734355.217,부산기장,12,16,217.9,부산광역시,기장군
28,0,1,1,6,3,4,2,14,117518,2945393.249,부산남구,11,19,25.91,부산광역시,남구
29,0,0,2,4,2,3,1,8,44473,2188799.99,부산동구,10,17,9.77,부산광역시,동구
30,3,1,0,7,4,6,1,22,111867,2910055.503,부산동래,11,16,16.6,부산광역시,동래구
31,2,2,3,16,2,6,5,27,166660,2551933.53,부산부산진,10,16,29.7,부산광역시,부산진구
32,3,0,0,2,1,5,1,13,120061,2634608.438,부산북구,9,16,38.3,부산광역시,북구
33,0,2,1,3,2,5,2,14,96780,2264078.125,부산사상,9,17,35.8,부산광역시,사상구
34,0,2,1,7,2,14,0,16,138822,2453286.836,부산사하,9,19,40.89,부산광역시,사하구
35,3,4,3,5,5,6,2,17,52819,2512425.671,부산서구,9,18,13.67,부산광역시,서구
36,2,1,1,7,3,3,1,12,81385,2726341.832,부산수영,11,18,10.16,부산광역시,수영구
37,0,1,1,5,0,5,3,16,90131,2836433.155,부산연제,11,17,12.08,부산광역시,연제구
38,2,1,1,0,0,0,0,3,54909,2324155.2,부산영도,10,19,13.98,부산광역시,영도구
39,2,1,2,6,3,5,0,9,23153,1998952.987,부산중구,10,18,2.8,부산광역시,중구
40,3,3,4,27,4,24,2,20,168454,3415504.205,부산해운대,12,17,51.44,부산광역시,해운대구
41,2,1,0,1,0,5,0,4,74489,2183056.863,대구남구,9,14,17.44,대구광역시,남구
42,8,5,4,18,7,13,1,11,231678,2715163.751,대구달서,8,15,62.3,대구광역시,달서구
43,6,0,2,2,2,11,2,9,103513,2569232.265,대구달성,9,15,427.03,대구광역시,달성군
44,10,2,0,8,6,22,3,8,152484,2494076.034,대구동구,11,13,182.35,대구광역시,동구
45,5,2,1,7,5,9,6,12,179984,2481631.394,대구북구,9,13,95.5,대구광역시,북구
46,9,6,4,19,8,14,1,11,82826,1984215.577,대구서구,8,14,17.5,대구광역시,서구
47,8,1,2,19,2,22,0,10,166806,3628839.209,대구수성,10,14,76.49,대구광역시,수성구
48,3,2,3,9,1,20,2,9,38410,2668594.1,대구중구,10,13,7.08,대구광역시,중구
49,0,0,0,0,0,1,2,1,33120,2464108.692,인천강화,1,3,411.2,인천광역시,강화군
50,2,0,0,3,1,2,4,20,123293,2326107.709,인천계양,2,5,45.58,인천광역시,계양구
51,7,5,2,10,5,26,8,32,221099,2254593.311,인천남구,2,7,24.47,인천광역시,남구
52,7,5,2,11,5,27,9,34,28709,2549577.063,인천남동,2,8,56.9,인천광역시,남동구
53,0,0,1,4,0,1,1,1,184890,2326898.172,인천동구,1,5,7.05,인천광역시,동구
54,1,0,0,9,4,12,8,34,211902,2484852.696,인천부평,2,6,32,인천광역시,부평구
55,3,5,4,6,4,18,4,34,217440,2654112.049,인천서구,1,4,137.05,인천광역시,서구
56,5,2,4,10,3,10,2,20,140058,3471420.302,인천연수,1,8,33.76,인천광역시,연수구
57,0,1,0,0,0,0,0,1,11735,2989856.151,인천옹진,0,8,164.3,인천광역시,옹진군
58,4,3,3,7,4,22,2,16,64524,2660238.603,인천중구,1,7,110.6,인천광역시,중구
59,2,2,0,11,5,20,2,19,160438,2742572.486,광주광산,2,19,222.88,광주광역시,광산구
60,3,1,0,9,1,2,0,6,92057,2894915.275,광주남구,2,21,61.07,광주광역시,남구
61,6,0,1,9,2,1,0,4,47838,2786315.227,광주동구,3,20,48.86,광주광역시,동구
62,5,2,1,10,7,14,1,13,186885,2621045.452,광주북구,3,19,121.74,광주광역시,북구
63,9,3,1,14,8,9,4,15,128667,2940787.054,광주서구,2,20,46.73,광주광역시,서구
64,1,0,2,4,1,2,0,2,75810,2453182.155,대전대덕,5,12,68.45,대전광역시,대덕구
65,3,0,2,5,2,14,3,1,104200,2294990.363,대전동구,5,13,136.8,대전광역시,동구
66,7,4,2,21,7,18,2,14,203429,2872928.266,대전서구,4,14,95.25,대전광역시,서구
67,6,1,2,11,8,30,1,11,144887,3759123.581,대전유성,4,13,177.16,대전광역시,유성구
68,2,2,1,7,2,6,0,3,106279,2552290.571,대전중구,5,14,61.98,대전광역시,중구
69,13,2,2,14,5,20,6,27,135140,3725125.086,울산남구,12,15,72.11,울산광역시,남구
70,2,2,1,2,0,2,2,8,65216,3359765.589,울산동구,12,14,35.77,울산광역시,동구
71,3,1,1,4,4,12,6,19,80803,3764093.449,울산북구,12,13,80.41,울산광역시,북구
72,3,2,1,1,2,5,2,12,93842,3228054.761,울산울주,11,15,754.93,울산광역시,울주군
73,6,2,1,5,1,3,4,15,93071,3467872.873,울산중구,11,14,37,울산광역시,중구
74,7,3,3,8,4,0,4,17,134616,3452126.069,세종,4,11,465.23,세종특별자치시,세종시
75,2,1,0,0,0,1,0,6,30711,2474623.726,가평,9,3,843.04,경기도,가평군
76,3,6,2,33,9,21,17,0,432730,3081201.329,고양,4,2,267.33,경기도,고양시
77,0,1,0,3,0,1,0,2,21398,4461667.137,과천,7,7,35.813,경기도,과천시
78,1,0,4,9,3,7,6,10,126096,2870464.901,광명,3,3,38.5,경기도,광명시
79,1,0,5,2,0,3,6,10,156379,2433615.779,광주,8,7,431.84,경기도,광주시
80,0,1,1,3,3,12,3,15,79667,2725997.92,구리,9,4,33.3,경기도,구리시
81,1,1,0,4,1,10,6,8,109645,2989044.14,군포,5,8,36.35,경기도,군포시
82,2,1,0,9,4,22,4,21,173966,2777451.137,김포,2,3,276.64,경기도,김포시
83,0,7,8,7,3,8,9,39,275986,2575302.768,남양주,8,3,458.44,경기도,남양주시
84,0,0,0,2,0,1,1,2,42971,2134931.245,동두천,7,2,95.68,경기도,동두천시
85,4,8,2,14,3,22,9,49,339962,2541060.805,부천,2,4,53.44,경기도,부천시
86,13,4,12,41,10,16,11,0,400001,3751599.25,성남,7,8,141.82,경기도,성남시
87,9,3,8,28,18,44,14,0,498302,3272525.818,수원,6,9,121.09,경기도,수원시
88,2,1,5,5,4,24,9,29,193706,2470763.712,시흥,3,5,134.4,경기도,시흥시
89,4,2,4,9,4,18,31,35,277306,2483339.419,안산,3,6,144.78,경기도,안산시
90,1,1,1,3,5,2,4,4,81415,2491998.792,안성,4,8,554.2,경기도,안성시
91,4,2,2,14,5,28,11,30,223027,3096329.313,안양,3,4,58.52,경기도,안양시
92,0,9,8,12,8,10,11,56,92959,2236043.711,양주,8,2,310.31,경기도,양주시
93,0,0,2,1,0,1,1,6,55712,2826538.176,양평,9,6,877.08,경기도,양평군
94,0,2,4,3,1,0,2,3,50296,2391649.149,여주,9,7,608.64,경기도,여주시
95,0,1,0,0,0,0,0,1,21605,2487537.317,연천,7,1,695.23,경기도,연천군
96,2,1,0,4,4,8,5,7,94582,2749961.038,오산,3,8,42.74,경기도,오산시
97,2,2,6,25,7,13,11,0,405560,3625786.891,용인,7,9,591.5,경기도,용인시
98,0,0,0,1,0,2,4,6,62020,3146900.645,의왕,6,8,54,경기도,의왕시
99,2,2,3,10,3,9,5,36,190466,2338591.624,의정부,7,3,81.59,경기도,의정부시
100,0,1,2,5,3,6,8,11,92434,2952201.66,이천,8,8,461.02,경기도,이천시
101,1,2,4,6,3,20,6,18,191594,2750713.526,파주,3,2,672.56,경기도,파주시
102,4,4,5,5,3,26,11,17,224892,2844974.272,평택,5,9,452.31,경기도,평택시
103,0,2,1,2,1,3,1,9,69985,2096587.199,포천,8,1,826.38,경기도,포천시
104,0,0,4,10,2,5,1,20,115113,3041970.577,하남,9,5,93.1,경기도,하남시
105,3,2,3,13,14,36,16,36,326111,3489764.618,화성,3,7,688.1,경기도,화성시
106,3,3,3,4,2,5,1,13,98949,2586268.275,강릉,11,4,1040.07,강원도,강릉시
107,0,0,0,1,0,3,1,1,14419,2395433.205,고성(강원),9,0,664.19,강원도,고성군
108,0,0,0,1,2,2,0,3,41071,2829977.978,동해,11,5,180.01,강원도,동해시
109,2,0,0,0,0,4,1,3,34275,2750103.316,삼척,11,8,1185.8,강원도,삼척시
110,2,2,0,3,1,2,2,7,38658,2452133.191,속초,9,1,105.25,강원도,속초시
111,0,1,0,0,0,0,1,1,10896,2783187.093,양구,8,0,700.8,강원도,양구군
112,0,1,0,0,1,0,2,1,14067,2399151.124,양양,10,2,628.68,강원도,양양군
113,0,2,0,0,0,0,0,1,21031,2686249.798,영월,10,8,1127.36,강원도,영월군
114,4,4,3,6,7,10,7,17,154039,2705548.681,원주,10,7,867.3,강원도,원주시
115,0,0,2,0,1,0,0,2,15565,2782345.059,인제,9,2,1646.08,강원도,인제군
116,0,0,0,0,0,1,0,1,19972,2567742.394,정선,11,6,1220.67,강원도,정선군
117,0,0,0,0,0,1,0,3,21196,2626394.122,철원,6,0,899.82,강원도,철원군
118,3,5,3,6,1,7,5,26,122630,2725947.127,춘천,10,3,1116.35,강원도,춘천시
119,0,0,0,0,0,0,1,1,21805,2861439.981,태백,11,7,303.57,강원도,태백시
120,0,2,1,0,0,2,0,2,21399,2387786.468,평창,10,6,1463.65,강원도,평창군
121,0,2,2,2,3,2,2,3,33100,2479670.299,홍천,10,4,1817.94,강원도,홍천군
122,0,1,0,0,0,0,0,2,12600,2727249.95,화천,7,0,909.45,강원도,화천군
123,0,0,1,0,0,0,1,0,22857,2329740.341,횡성,10,5,997.82,강원도,횡성군
124,0,0,0,0,1,0,0,1,20753,2368579.692,괴산,7,11,443.9,충청남도,홍성군
125,0,0,0,0,1,0,0,1,15221,2488114.875,단양,7,10,842,충청북도,괴산군
126,0,0,1,0,0,1,0,1,16680,2423046.858,보은,7,12,781.07,충청북도,단양군
127,1,1,0,0,2,0,0,1,24563,2399432.081,영동,6,14,584.45,충청북도,보은군
128,0,1,2,0,2,0,0,1,23951,2320230.201,옥천,6,13,845.01,충청북도,영동군
129,1,1,1,0,0,3,3,4,46307,2349083.425,음성,5,10,537.13,충청북도,옥천군
130,1,0,1,1,0,1,2,7,63373,2571200.783,제천,8,10,521.05,충청북도,음성군
131,1,0,0,1,0,0,1,2,17265,2563045.407,증평,6,11,882.47,충청북도,제천시
132,0,0,0,0,1,2,1,3,37085,2484440.77,진천,5,11,81.84,충청북도,증평군
133,19,2,3,15,13,19,10,41,359895,2926542.174,청주,6,12,406.08,충청북도,진천군
134,3,0,2,4,1,3,4,6,95409,2566321.609,충주,6,10,932.51,충청북도,청주시
135,0,0,0,1,0,0,0,0,15993,3650648.672,계룡,4,12,983.7,충청북도,충주시
136,1,1,4,2,2,1,1,4,50455,2553002.56,공주,4,10,60.7,충청남도,계룡시
137,0,0,1,0,1,1,0,1,25508,2366363.982,금산,3,13,940.71,충청남도,공주시
138,0,0,1,1,0,2,0,3,57232,2348708.931,논산,3,12,576.28,충청남도,금산군
139,2,1,1,2,3,3,2,6,76150,2945638.296,당진,2,9,554.98,충청남도,논산시
140,1,3,0,1,0,1,0,2,48227,2565193.606,보령,2,11,694.13,충청남도,당진시
141,0,1,0,0,0,1,0,2,33308,2311234.871,부여,2,12,568.22,충청남도,보령시
142,2,4,4,2,0,3,5,10,76581,3303749.161,서산,1,10,624.51,충청남도,부여군
143,0,1,1,0,2,0,0,2,26384,2521220.304,서천,2,13,739.15,충청남도,서산시
144,4,3,2,4,2,8,4,10,134959,3204097.242,아산,3,9,363.4,충청남도,서천군
145,0,1,1,0,0,4,2,3,38310,2340980.294,예산,3,10,542.2,충청남도,아산시
146,8,7,11,16,6,19,12,21,280762,3032610.5,천안,4,9,543.1,충청남도,예산군
147,0,0,0,0,0,0,0,0,16190,2405502.446,청양,3,11,636.5,충청남도,천안시
148,0,0,0,0,0,1,1,2,32061,2611718.516,태안,1,9,479.67,충청남도,청양군
149,1,2,2,0,1,2,0,2,45999,2596865.565,홍성,2,10,504.82,충청남도,태안군
150,1,1,0,0,1,1,1,1,28767,2431310.154,고창,1,16,606.9,전라북도,고창군
151,2,8,4,3,3,5,3,10,118140,2792908.295,군산,2,14,234.74,전라북도,군산시
152,0,1,0,0,1,1,0,4,41844,2208098.016,김제,3,15,545.06,전라북도,김제시
153,0,2,0,0,2,1,2,2,38393,2330832.576,남원,5,17,752.74,전라북도,남원시
154,0,0,2,0,0,0,1,1,12396,2342361.976,무주,5,15,631.68,전라북도,무주군
155,0,0,0,0,2,2,0,3,27417,2271641.279,부안,2,15,493.54,전라북도,부안군
156,0,0,0,0,0,0,0,1,13779,2390553.674,순창,3,17,495.75,전라북도,순창군
157,1,0,2,0,0,1,1,5,41771,2655052.669,완주,4,15,821,전라북도,완주군
158,3,3,0,3,2,5,1,11,126820,2494518.763,익산,3,14,507.1,전라북도,익산시
159,0,0,2,0,0,0,1,1,14627,2500712.577,임실,4,17,596.88,전라북도,임실군
160,0,0,1,0,0,0,1,1,11301,2461693.822,장수,5,16,533.64,전라북도,장수군
161,7,4,10,14,15,13,10,47,273441,2826436.67,전주,3,16,206.45,전라북도,전주시
162,0,0,3,1,0,1,1,4,53511,2337969.189,정읍,2,16,692.8,전라북도,정읍시
163,0,0,0,0,0,0,0,1,13108,2450454.312,진안,4,16,788.94,전라북도,진안군
164,1,1,0,0,0,0,0,1,18346,2480191.257,강진,1,22,495.98,전라남도,강진군
165,0,0,0,0,0,1,2,2,34746,2316060.736,고흥,3,22,775.85,전라남도,고흥군
166,0,0,1,0,0,0,2,1,15326,2680129.616,곡성,3,18,547.37,전라남도,곡성군
167,1,2,0,1,1,1,8,6,63909,3224482.214,광양,5,20,446.08,전라남도,광양시
168,0,0,0,0,0,0,1,0,13058,2322761.58,구례,4,18,443.01,전라남도,구례군
169,2,0,1,1,1,2,1,2,56019,2612878.07,나주,1,20,603.69,전라남도,나주시
170,0,0,0,0,0,0,0,1,23462,2536208.361,담양,2,18,455.09,전라남도,담양군
171,10,2,4,5,3,3,4,11,102364,2418871.272,목포,0,20,47.32,전라남도,목포시
172,1,2,1,1,1,1,5,2,36688,2783128.431,무안,1,19,436.4,전라남도,무안군
173,0,0,0,0,2,0,1,0,22291,2401331.261,보성,3,21,663.16,전라남도,보성군
174,5,1,2,4,1,6,11,14,116962,2960404.084,순천,4,20,907.35,전라남도,순천시
175,0,0,0,0,0,0,0,0,21762,2553073.575,신안,0,19,653.13,전라남도,신안군
176,4,3,3,5,2,13,7,13,123445,3246119.653,여수,4,21,501.3,전라남도,여수시
177,1,0,0,0,1,1,1,1,26635,2758048.984,영광,1,17,472.97,전라남도,영광군
178,0,1,0,0,0,0,0,1,27312,2277465.385,영암,1,21,544.48,전라남도,영암군
179,1,0,0,0,0,0,1,1,25885,2400060.258,완도,2,23,391.81,전라남도,완도군
180,0,1,1,0,1,0,1,1,22774,2559426.23,장성,2,17,518.65,전라남도,장성군
181,0,0,1,0,1,0,0,1,20142,2434196.365,장흥,2,22,617.96,전라남도,장흥군
182,0,1,0,0,0,0,0,1,16095,2490810.054,진도,0,22,420.32,전라남도,진도군
183,0,1,2,0,0,0,1,0,17815,2447775.391,함평,1,18,392.77,전라남도,함평군
184,0,0,0,0,0,1,0,1,34794,2291116.083,해남,0,21,887.47,전라남도,해남군
185,1,0,0,0,0,3,0,1,30003,2359691.605,화순,4,19,786.23,전라남도,화순군
186,4,3,1,6,2,8,1,8,115195,2406601.577,경산,11,12,411.58,경상북도,경산시
187,2,5,2,7,4,6,8,22,118441,2809640.102,경주,12,12,1323.85,경상북도,경주시
188,0,0,0,0,0,0,0,1,16232,2275261.48,고령,7,13,383.7,경상북도,고령군
189,8,5,3,9,4,10,11,14,175669,3015863.434,구미,9,10,616.1,경상북도,구미시
190,0,1,2,0,3,0,1,1,12890,2506243.416,군위,9,11,614.15,경상북도,군위군
191,0,1,0,2,2,2,1,3,65161,2794686.019,김천,8,11,1009.56,경상북도,김천시
192,0,1,1,1,1,1,1,2,35346,2447524.686,문경,9,8,912,경상북도,문경시
193,0,0,0,0,0,0,0,1,16711,2454787.373,봉화,11,9,1201,경상북도,봉화군
194,1,0,1,0,1,1,0,2,48381,2436973.733,상주,8,9,1254.82,경상북도,상주시
195,1,0,0,0,3,1,0,1,22774,2156397.927,성주,8,12,616.28,경상북도,성주군
196,2,1,1,2,0,4,3,6,74589,2675641.588,안동,10,10,1519,경상북도,안동시
197,1,0,0,0,0,0,1,2,20099,2247386.183,영덕,12,10,741.05,경상북도,영덕군
198,0,0,0,0,0,0,0,0,8936,2544638.098,영양,11,10,815.11,경상북도,영양군
199,0,1,0,0,0,2,0,4,49030,2644597.234,영주,10,9,668.45,경상북도,영주시
200,1,2,2,0,0,2,0,2,51319,2380583.857,영천,10,12,919.76,경상북도,영천시
201,0,0,0,0,0,0,1,2,26415,2788950.253,예천,9,9,660.7,경상북도,예천군
202,0,0,0,0,0,0,0,0,5442,3002235.982,울릉,13,6,72.82,경상북도,울릉군
203,0,1,0,0,0,0,1,3,25225,2972178.775,울진,12,9,989.06,경상북도,울진군
204,0,0,0,0,0,0,1,0,28078,2179426.182,의성,10,11,1175.89,경상북도,의성군
205,0,0,2,0,0,2,0,2,22456,2332451.948,청도,8,13,696.52,경상북도,청도군
206,0,0,0,0,0,0,0,1,13866,2318384.914,청송,11,11,842.45,경상북도,청송군
207,3,0,2,0,2,4,2,3,52686,2625286.487,칠곡,9,12,451,경상북도,칠곡군
208,4,6,3,12,3,11,4,17,220024,3145045.065,포항,12,11,1127,경상북도,포항시
209,6,6,0,4,1,9,4,8,101792,3172343.858,거제,9,20,400.7,경상남도,거제시
210,0,1,0,0,2,1,1,1,29555,2549722.394,거창,6,15,804.09,경상남도,거창군
211,0,0,0,0,0,0,0,1,25872,2311653.169,고성(경남),7,19,517.06,경상남도,고성군
212,3,3,3,9,1,9,2,31,216604,2690278.24,김해,8,19,463.26,경상남도,김해시
213,0,0,0,0,0,0,1,1,22645,2395944.494,남해,6,19,357,경상남도,남해군
214,1,0,0,0,0,1,2,4,51489,2357856.268,밀양,8,16,799.03,경상남도,밀양시
215,1,1,1,2,2,1,0,4,52466,2728688.884,사천,6,18,396.3,경상남도,사천시
216,0,0,2,0,0,0,1,1,19015,2447399.068,산청,5,18,794.59,경상남도,산청군
217,2,2,5,7,6,8,2,16,144650,2628961.709,양산,8,17,404.38,경상남도,양산시
218,0,0,0,0,0,0,0,0,14557,2457529.206,의령,7,16,482.95,경상남도,의령군
219,3,2,0,6,3,4,5,21,148805,2888687.88,진주,6,17,712.62,경상남도,진주시
220,0,1,1,0,0,0,0,2,31471,2401842.105,창녕,7,15,533.09,경상남도,창녕군
221,5,2,7,20,7,21,8,41,430962,3038325.503,창원,7,18,734.87,경상남도,창원시
222,1,1,0,1,1,2,5,3,59411,2350392.707,통영,8,20,236.5,경상남도,통영시
223,0,0,0,0,0,0,3,0,23679,2462290.552,하동,5,19,675.57,경상남도,하동군
224,0,0,0,0,0,1,2,1,30901,2493266.298,함안,7,17,417,경상남도,함안군
225,0,0,1,0,0,0,0,1,20415,2378734.277,함양,6,16,725.03,경상남도,함양군
226,0,0,0,0,0,0,1,1,24184,2454718.624,합천,7,14,983.42,경상남도,합천군
227,4,3,0,9,0,0,0,6,83650,2439200.335,서귀포,4,25,870.68,제주특별자치도,서귀포시
228,12,5,3,11,2,0,0,10,209070,2549652.572,제주,4,24,977.8,제주특별자치도,제주시
